R: [0, 0, 0] L: [98, 144, 100]
R: [90, 117, 81] L: [96, 143, 98]
R: [89, 117, 81] L: [98, 144, 100]
R: [90, 118, 82] L: [95, 142, 98]
R: [90, 118, 81] L: [97, 143, 100]
R: [88, 116, 81] L: [96, 143, 98]
R: [89, 117, 83] L: [97, 144, 99]
R: [90, 118, 82] L: [97, 142, 99]
R: [88, 117, 82] L: [95, 142, 97]
R: [89, 118, 83] L: [97, 142, 98]
R: [88, 115, 80] L: [96, 143, 98]
R: [89, 117, 81] L: [99, 143, 100]
R: [87, 116, 80] L: [96, 144, 98]
R: [89, 116, 81] L: [98, 144, 99]
R: [90, 119, 83] L: [98, 144, 99]
R: [91, 117, 81] L: [96, 143, 98]
R: [91, 118, 83] L: [97, 143, 100]
R: [88, 116, 82] L: [98, 144, 99]
R: [89, 116, 81] L: [97, 143, 99]
R: [88, 117, 81] L: [98, 143, 100]
R: [89, 116, 81] L: [96, 143, 98]
R: [91, 118, 83] L: [100, 144, 100]
R: [86, 117, 77] L: [98, 144, 100]
R: [90, 118, 83] L: [96, 142, 98]
R: [88, 116, 81] L: [97, 144, 99]
R: [89, 117, 81] L: [98, 143, 99]
R: [88, 118, 80] L: [97, 144, 99]
R: [88, 115, 80] L: [95, 141, 99]
R: [90, 119, 82] L: [95, 144, 98]
R: [89, 116, 81] L: [99, 144, 101]
R: [89, 119, 82] L: [97, 143, 99]
R: [87, 116, 80] L: [98, 144, 100]
R: [90, 118, 82] L: [96, 143, 99]
R: [89, 117, 81] L: [97, 143, 99]
R: [89, 118, 81] L: [97, 143, 100]
R: [89, 117, 80] L: [99, 144, 100]
R: [90, 118, 82] L: [98, 147, 100]
R: [93, 117, 82] L: [97, 143, 100]
R: [89, 119, 81] L: [97, 142, 99]
R: [87, 116, 80] L: [98, 144, 99]
R: [90, 119, 82] L: [96, 143, 98]
R: [89, 117, 82] L: [98, 144, 99]
R: [84, 114, 78] L: [97, 142, 100]
R: [88, 117, 81] L: [98, 144, 100]
R: [90, 117, 81] L: [94, 142, 97]
R: [90, 118, 82] L: [96, 140, 98]
R: [88, 118, 83] L: [100, 143, 101]
R: [89, 116, 81] L: [99, 144, 102]
R: [89, 117, 81] L: [98, 143, 99]
R: [86, 117, 79] L: [98, 144, 101]
R: [90, 118, 84] L: [96, 142, 97]
R: [88, 119, 83] L: [98, 145, 100]
R: [88, 118, 82] L: [97, 142, 96]
R: [86, 116, 82] L: [96, 141, 97]
R: [90, 119, 83] L: [100, 144, 100]
R: [89, 116, 81] L: [97, 145, 100]
R: [89, 117, 81] L: [95, 142, 98]
R: [89, 118, 83] L: [96, 142, 98]
R: [88, 116, 81] L: [96, 143, 98]
R: [86, 115, 78] L: [97, 143, 98]
R: [91, 119, 82] L: [96, 143, 100]
R: [88, 118, 81] L: [97, 143, 98]
R: [88, 118, 81] L: [99, 144, 99]
R: [86, 113, 77] L: [96, 145, 100]
R: [87, 116, 81] L: [97, 144, 100]
R: [88, 120, 82] L: [98, 144, 100]
R: [88, 118, 81] L: [97, 143, 100]
R: [88, 117, 80] L: [97, 144, 99]
R: [89, 118, 83] L: [98, 146, 97]
R: [90, 118, 82] L: [96, 143, 99]
R: [87, 116, 81] L: [97, 142, 99]
R: [87, 115, 81] L: [95, 142, 96]
R: [89, 117, 80] L: [99, 144, 98]
R: [89, 118, 80] L: [99, 146, 100]
R: [87, 116, 80] L: [96, 141, 96]
R: [90, 118, 81] L: [97, 142, 99]
R: [88, 116, 81] L: [98, 144, 99]
R: [88, 116, 81] L: [97, 144, 100]
R: [89, 118, 82] L: [98, 143, 99]
R: [90, 119, 82] L: [97, 143, 99]
R: [89, 117, 82] L: [97, 142, 98]
R: [88, 118, 81] L: [95, 142, 96]
R: [88, 117, 81] L: [98, 143, 100]
R: [90, 118, 81] L: [96, 145, 98]
R: [86, 116, 79] L: [97, 142, 99]
R: [89, 117, 80] L: [98, 145, 99]
R: [90, 117, 81] L: [96, 142, 99]
R: [87, 116, 81] L: [98, 144, 100]
R: [89, 118, 83] L: [96, 143, 99]
R: [89, 117, 82] L: [96, 141, 98]
R: [87, 119, 79] L: [98, 143, 101]
R: [87, 117, 83] L: [97, 143, 98]
R: [91, 117, 82] L: [98, 145, 100]
R: [89, 116, 81] L: [96, 142, 98]
R: [90, 117, 81] L: [96, 143, 97]
R: [89, 118, 83] L: [97, 144, 100]
R: [89, 117, 80] L: [96, 143, 98]
R: [88, 116, 81] L: [94, 143, 97]
R: [88, 116, 80] L: [98, 143, 99]
R: [90, 118, 82] L: [97, 144, 101]
R: [88, 116, 81] L: [96, 143, 98]
R: [89, 117, 81] L: [99, 145, 100]
R: [83, 116, 79] L: [98, 144, 100]
R: [89, 116, 81] L: [98, 143, 100]
R: [90, 116, 83] L: [99, 140, 103]
R: [90, 117, 82] L: [97, 142, 100]
R: [88, 118, 82] L: [95, 144, 98]
R: [88, 117, 82] L: [97, 142, 97]
R: [88, 116, 81] L: [97, 145, 100]
R: [90, 119, 82] L: [97, 142, 98]
R: [88, 117, 81] L: [97, 142, 98]
R: [87, 117, 81] L: [97, 142, 100]
R: [89, 116, 80] L: [96, 143, 99]
R: [90, 118, 82] L: [97, 144, 100]
R: [90, 118, 82] L: [94, 141, 98]
R: [89, 116, 81] L: [97, 143, 100]
R: [89, 117, 82] L: [97, 142, 97]
R: [88, 116, 79] L: [97, 143, 99]
R: [88, 116, 80] L: [97, 143, 100]
R: [86, 116, 79] L: [97, 144, 99]
R: [89, 119, 82] L: [97, 144, 99]
R: [88, 116, 81] L: [97, 144, 100]
R: [91, 118, 82] L: [97, 143, 99]
R: [88, 117, 82] L: [97, 144, 99]
R: [89, 118, 82] L: [98, 145, 99]
R: [87, 117, 82] L: [96, 144, 99]
R: [88, 117, 79] L: [95, 143, 98]
R: [86, 116, 78] L: [96, 142, 97]
R: [89, 116, 81] L: [95, 143, 97]
R: [87, 117, 81] L: [95, 142, 98]
R: [89, 117, 81] L: [98, 144, 100]
R: [89, 118, 82] L: [96, 143, 99]
R: [89, 116, 78] L: [97, 143, 98]
R: [88, 117, 80] L: [96, 143, 98]
R: [89, 116, 81] L: [96, 142, 98]
R: [96, 120, 87] L: [97, 144, 98]
R: [90, 119, 83] L: [100, 143, 99]
R: [89, 117, 81] L: [96, 143, 99]
R: [91, 120, 81] L: [99, 145, 100]
R: [87, 116, 81] L: [96, 141, 99]
R: [87, 115, 80] L: [96, 142, 98]
R: [89, 117, 81] L: [98, 144, 101]
R: [89, 118, 81] L: [93, 143, 99]
R: [89, 117, 81] L: [99, 144, 100]
R: [91, 119, 84] L: [99, 144, 101]
R: [89, 117, 81] L: [98, 143, 99]
R: [90, 117, 84] L: [97, 143, 99]
R: [88, 117, 82] L: [96, 141, 97]
R: [89, 116, 80] L: [98, 143, 99]
R: [88, 117, 82] L: [96, 145, 98]
R: [90, 118, 81] L: [95, 141, 99]
R: [88, 119, 79] L: [98, 143, 98]
R: [87, 115, 80] L: [99, 143, 99]
R: [88, 117, 80] L: [97, 143, 101]
R: [92, 118, 82] L: [97, 144, 98]
R: [88, 116, 80] L: [98, 144, 100]
R: [88, 116, 82] L: [96, 143, 97]
R: [91, 118, 83] L: [97, 146, 100]
R: [87, 117, 82] L: [95, 143, 96]
R: [90, 116, 81] L: [97, 144, 100]
R: [88, 116, 79] L: [94, 142, 98]
R: [90, 118, 83] L: [98, 142, 100]
R: [88, 116, 81] L: [96, 145, 100]
R: [89, 117, 81] L: [97, 142, 100]
R: [88, 118, 83] L: [99, 144, 100]
R: [90, 118, 84] L: [98, 143, 99]
R: [89, 118, 82] L: [96, 143, 99]
R: [86, 114, 79] L: [96, 144, 98]
R: [90, 118, 82] L: [96, 141, 98]
R: [88, 116, 81] L: [95, 142, 100]
R: [89, 119, 84] L: [96, 145, 99]
R: [90, 117, 81] L: [96, 142, 98]
R: [88, 118, 82] L: [97, 143, 98]
R: [89, 117, 81] L: [99, 145, 101]
R: [90, 118, 83] L: [96, 141, 95]
R: [90, 115, 82] L: [98, 144, 100]
R: [89, 118, 81] L: [97, 144, 100]
R: [89, 117, 81] L: [97, 144, 99]
R: [88, 117, 81] L: [97, 145, 100]
R: [90, 117, 80] L: [96, 142, 100]
R: [86, 121, 82] L: [97, 143, 99]
R: [87, 118, 81] L: [98, 144, 101]
R: [86, 116, 80] L: [97, 144, 99]
R: [88, 115, 81] L: [100, 143, 101]
R: [89, 117, 81] L: [97, 143, 99]
R: [88, 116, 81] L: [95, 143, 99]
R: [87, 117, 80] L: [97, 143, 98]
R: [88, 117, 82] L: [97, 143, 99]
R: [91, 117, 81] L: [96, 142, 98]
R: [89, 118, 83] L: [97, 143, 98]
R: [86, 115, 81] L: [95, 143, 97]
R: [89, 117, 81] L: [96, 144, 99]
R: [90, 118, 83] L: [98, 144, 100]
R: [91, 119, 83] L: [97, 143, 97]
R: [88, 117, 82] L: [99, 143, 100]
R: [89, 117, 81] L: [96, 142, 92]
R: [88, 118, 82] L: [96, 142, 98]
R: [88, 116, 81] L: [96, 142, 98]
R: [89, 118, 82] L: [98, 143, 98]
R: [87, 115, 79] L: [96, 142, 97]
R: [91, 118, 82] L: [97, 142, 98]
R: [90, 114, 81] L: [97, 143, 98]
R: [88, 115, 80] L: [96, 143, 99]
R: [85, 119, 80] L: [97, 141, 98]
R: [86, 116, 80] L: [97, 145, 98]
R: [86, 117, 80] L: [97, 144, 98]
R: [89, 116, 81] L: [99, 142, 103]
R: [90, 118, 83] L: [97, 144, 99]
R: [89, 117, 81] L: [96, 142, 99]
R: [87, 117, 80] L: [98, 143, 98]
R: [86, 118, 81] L: [98, 144, 100]
R: [90, 118, 82] L: [96, 143, 94]
R: [89, 118, 80] L: [98, 143, 100]
R: [89, 119, 82] L: [95, 142, 98]
R: [91, 118, 82] L: [96, 142, 98]
R: [87, 117, 79] L: [96, 143, 98]
R: [88, 116, 82] L: [98, 144, 100]
R: [87, 116, 83] L: [98, 145, 101]
R: [86, 117, 79] L: [98, 144, 99]
R: [84, 115, 76] L: [95, 141, 97]
R: [91, 117, 82] L: [96, 143, 99]
R: [88, 117, 81] L: [98, 143, 99]
R: [90, 118, 82] L: [98, 144, 100]
R: [88, 116, 82] L: [97, 143, 100]
R: [90, 118, 83] L: [97, 143, 99]
R: [87, 116, 81] L: [97, 144, 100]
R: [87, 115, 80] L: [97, 143, 99]
R: [89, 116, 80] L: [98, 143, 100]
R: [89, 118, 82] L: [97, 144, 100]
R: [94, 118, 84] L: [98, 143, 100]
R: [86, 115, 83] L: [97, 143, 99]
R: [86, 115, 80] L: [96, 142, 97]
R: [89, 118, 82] L: [95, 142, 98]
R: [88, 116, 80] L: [97, 144, 99]
R: [91, 120, 82] L: [97, 143, 98]
R: [89, 117, 82] L: [98, 143, 99]
R: [90, 118, 81] L: [97, 143, 99]
R: [89, 118, 82] L: [98, 144, 98]
R: [91, 118, 83] L: [95, 142, 97]
R: [88, 116, 82] L: [98, 143, 99]
R: [89, 117, 81] L: [97, 139, 101]
R: [90, 116, 81] L: [98, 144, 99]
R: [89, 117, 81] L: [98, 142, 99]
R: [89, 117, 81] L: [97, 143, 100]
R: [89, 118, 82] L: [96, 143, 100]
R: [89, 117, 84] L: [96, 142, 98]
R: [87, 115, 81] L: [97, 144, 100]
R: [89, 116, 81] L: [97, 143, 99]
R: [88, 117, 81] L: [97, 143, 100]
R: [89, 115, 80] L: [98, 143, 99]
R: [89, 118, 82] L: [96, 142, 99]
R: [88, 117, 83] L: [97, 140, 97]
R: [90, 117, 79] L: [97, 143, 98]
R: [88, 118, 82] L: [98, 144, 99]
R: [89, 117, 80] L: [95, 142, 95]
R: [91, 118, 83] L: [97, 144, 101]
R: [89, 117, 81] L: [99, 146, 100]
R: [90, 119, 82] L: [97, 143, 101]
R: [88, 120, 81] L: [95, 143, 98]
R: [87, 116, 81] L: [99, 143, 100]
R: [89, 116, 80] L: [96, 143, 98]
R: [87, 117, 81] L: [98, 144, 100]
R: [89, 117, 81] L: [97, 143, 98]
R: [87, 117, 81] L: [97, 143, 100]
R: [90, 118, 82] L: [97, 143, 99]
R: [87, 117, 81] L: [97, 144, 100]
R: [89, 117, 83] L: [96, 143, 98]
R: [89, 116, 82] L: [96, 143, 98]
R: [90, 119, 82] L: [98, 144, 100]
R: [88, 116, 80] L: [96, 141, 99]
R: [90, 118, 82] L: [98, 144, 100]
R: [90, 118, 82] L: [97, 144, 100]
R: [87, 118, 81] L: [96, 143, 98]
R: [90, 116, 81] L: [98, 144, 99]
R: [88, 117, 81] L: [97, 144, 100]
R: [90, 117, 81] L: [96, 142, 98]
R: [90, 119, 82] L: [98, 144, 99]
R: [88, 117, 82] L: [98, 144, 99]
R: [90, 118, 82] L: [95, 144, 99]
R: [89, 118, 81] L: [95, 143, 99]
R: [88, 117, 82] L: [96, 140, 101]
R: [89, 117, 81] L: [95, 142, 96]
R: [88, 117, 83] L: [97, 143, 98]
R: [88, 118, 82] L: [96, 143, 99]
R: [89, 115, 80] L: [99, 146, 102]
R: [90, 119, 83] L: [98, 144, 98]
R: [85, 117, 79] L: [98, 140, 101]
R: [89, 117, 81] L: [96, 141, 97]
R: [90, 117, 81] L: [96, 144, 99]
R: [88, 118, 81] L: [98, 143, 100]
R: [86, 114, 78] L: [99, 142, 99]
R: [90, 118, 83] L: [98, 144, 99]
R: [88, 116, 83] L: [93, 143, 96]
R: [89, 117, 81] L: [96, 142, 98]
R: [89, 117, 82] L: [97, 143, 98]
R: [89, 119, 82] L: [99, 144, 100]
R: [88, 116, 81] L: [95, 142, 98]
R: [91, 118, 82] L: [97, 142, 98]
R: [89, 119, 83] L: [98, 143, 99]
R: [88, 116, 81] L: [97, 144, 100]
R: [89, 116, 81] L: [96, 142, 98]
R: [89, 117, 81] L: [94, 144, 98]
R: [89, 117, 80] L: [95, 142, 98]
R: [86, 115, 78] L: [101, 144, 100]
R: [88, 118, 81] L: [97, 144, 99]
R: [88, 117, 81] L: [96, 142, 99]
R: [90, 119, 82] L: [97, 143, 98]
R: [88, 116, 81] L: [98, 141, 97]
R: [89, 118, 80] L: [95, 143, 98]
R: [89, 116, 82] L: [97, 144, 100]
R: [90, 118, 81] L: [96, 143, 98]
R: [88, 116, 81] L: [98, 146, 99]
R: [90, 116, 82] L: [96, 142, 98]
R: [89, 118, 81] L: [97, 144, 101]
R: [85, 112, 77] L: [97, 144, 102]
R: [89, 116, 81] L: [97, 143, 100]
R: [86, 117, 81] L: [98, 143, 99]
R: [90, 119, 83] L: [97, 145, 100]
R: [87, 115, 80] L: [97, 143, 99]
R: [87, 116, 79] L: [98, 145, 99]
R: [88, 115, 80] L: [97, 142, 99]
R: [89, 115, 80] L: [96, 142, 97]
R: [90, 119, 83] L: [98, 144, 100]
R: [87, 119, 80] L: [99, 143, 100]
R: [89, 117, 78] L: [96, 143, 98]
R: [88, 116, 81] L: [99, 143, 100]
R: [90, 117, 83] L: [96, 143, 100]
R: [87, 117, 81] L: [95, 145, 97]
R: [89, 116, 79] L: [96, 143, 99]
R: [91, 119, 84] L: [99, 141, 99]
R: [92, 116, 76] L: [98, 142, 99]
R: [88, 116, 81] L: [96, 143, 100]
R: [95, 119, 84] L: [95, 143, 101]
R: [91, 119, 83] L: [97, 143, 99]
R: [88, 116, 81] L: [99, 143, 101]
R: [89, 117, 80] L: [97, 143, 99]
R: [89, 119, 81] L: [97, 143, 99]
R: [87, 118, 80] L: [96, 141, 97]
R: [87, 117, 81] L: [100, 143, 101]
R: [88, 117, 80] L: [97, 142, 97]
R: [89, 117, 81] L: [96, 144, 100]
R: [87, 117, 80] L: [100, 145, 103]
R: [85, 115, 80] L: [99, 142, 99]
R: [89, 117, 79] L: [97, 142, 100]
R: [88, 117, 83] L: [95, 145, 98]
R: [91, 116, 82] L: [96, 144, 99]
R: [91, 119, 82] L: [97, 143, 99]
R: [90, 118, 83] L: [94, 142, 97]
R: [87, 116, 80] L: [96, 145, 101]
R: [90, 119, 83] L: [96, 143, 98]
R: [86, 116, 81] L: [97, 142, 101]
R: [87, 116, 79] L: [98, 144, 99]
R: [89, 117, 83] L: [97, 144, 99]
R: [89, 115, 80] L: [94, 143, 97]
R: [90, 118, 83] L: [97, 144, 99]
R: [89, 117, 80] L: [98, 143, 99]
R: [90, 118, 81] L: [95, 142, 99]
R: [89, 117, 83] L: [97, 144, 100]
R: [88, 120, 80] L: [97, 143, 98]
R: [90, 118, 81] L: [96, 141, 98]
R: [88, 116, 82] L: [97, 143, 99]
R: [90, 118, 82] L: [99, 144, 101]
R: [90, 118, 82] L: [97, 143, 99]
R: [88, 117, 84] L: [97, 144, 99]
R: [89, 116, 81] L: [97, 144, 99]
R: [89, 117, 82] L: [94, 142, 98]
R: [86, 115, 81] L: [97, 142, 98]
R: [89, 118, 84] L: [96, 144, 98]
R: [89, 117, 80] L: [99, 143, 99]
R: [87, 115, 80] L: [98, 143, 102]
R: [89, 119, 81] L: [96, 143, 98]
R: [88, 118, 81] L: [96, 143, 99]
R: [90, 118, 83] L: [97, 142, 100]
R: [89, 116, 80] L: [95, 143, 98]
R: [88, 118, 80] L: [96, 141, 100]
R: [88, 116, 82] L: [98, 144, 99]
R: [90, 119, 83] L: [100, 143, 99]
R: [88, 116, 81] L: [96, 143, 100]
R: [90, 119, 82] L: [97, 143, 98]
R: [89, 117, 82] L: [96, 142, 100]
R: [87, 116, 80] L: [98, 144, 99]
R: [88, 118, 81] L: [98, 144, 99]
R: [88, 116, 81] L: [97, 143, 98]
R: [89, 119, 82] L: [98, 148, 101]
R: [88, 117, 81] L: [96, 143, 99]
R: [90, 117, 81] L: [97, 142, 98]
R: [88, 119, 82] L: [97, 143, 99]
R: [90, 118, 83] L: [96, 143, 98]
R: [90, 116, 83] L: [98, 144, 99]
R: [90, 118, 82] L: [97, 142, 99]
R: [88, 116, 81] L: [98, 143, 99]
R: [89, 117, 81] L: [96, 143, 99]
R: [86, 114, 82] L: [98, 143, 99]
R: [89, 113, 81] L: [100, 144, 100]
R: [87, 116, 81] L: [98, 144, 99]
R: [89, 115, 82] L: [97, 145, 101]
R: [89, 118, 83] L: [97, 142, 99]
R: [88, 116, 79] L: [97, 144, 97]
R: [90, 118, 81] L: [96, 143, 99]
R: [88, 118, 83] L: [95, 138, 98]
R: [92, 118, 84] L: [98, 144, 100]
R: [91, 119, 84] L: [97, 142, 98]
R: [89, 116, 81] L: [99, 144, 100]
R: [91, 118, 83] L: [97, 142, 100]
R: [91, 120, 84] L: [97, 143, 99]
R: [89, 117, 81] L: [97, 143, 99]
R: [91, 118, 81] L: [95, 143, 99]
R: [87, 116, 80] L: [96, 143, 97]
R: [90, 118, 82] L: [98, 145, 101]
R: [88, 118, 82] L: [95, 143, 98]
R: [86, 116, 82] L: [97, 143, 97]
R: [90, 118, 83] L: [95, 143, 98]
R: [87, 116, 80] L: [97, 143, 98]
R: [90, 119, 81] L: [97, 143, 103]
R: [88, 117, 81] L: [96, 142, 98]
R: [91, 117, 83] L: [97, 143, 99]
R: [87, 116, 81] L: [99, 144, 99]
R: [90, 116, 82] L: [95, 143, 98]
R: [87, 117, 83] L: [98, 143, 99]
R: [87, 116, 80] L: [96, 143, 98]
R: [92, 117, 82] L: [95, 143, 96]
R: [91, 118, 82] L: [97, 144, 100]
R: [89, 116, 81] L: [96, 142, 98]
R: [88, 118, 81] L: [96, 142, 98]
R: [88, 117, 81] L: [96, 141, 100]
R: [90, 118, 82] L: [96, 141, 98]
R: [88, 115, 79] L: [97, 143, 98]
R: [91, 118, 83] L: [95, 141, 96]
R: [85, 117, 81] L: [97, 143, 99]
R: [86, 116, 80] L: [96, 144, 100]
R: [90, 119, 82] L: [97, 142, 98]
R: [90, 119, 81] L: [97, 145, 97]
R: [87, 116, 80] L: [96, 143, 99]
R: [90, 119, 82] L: [95, 142, 99]
R: [90, 117, 83] L: [99, 142, 99]
R: [91, 115, 79] L: [98, 143, 99]
R: [87, 116, 82] L: [97, 143, 99]
R: [88, 116, 79] L: [98, 142, 99]
R: [88, 116, 82] L: [97, 143, 98]
R: [88, 115, 78] L: [97, 145, 100]
R: [89, 116, 81] L: [97, 144, 99]
R: [87, 115, 81] L: [97, 143, 99]
R: [89, 117, 81] L: [98, 143, 100]
R: [90, 119, 84] L: [94, 143, 100]
R: [87, 117, 82] L: [99, 140, 100]
R: [90, 117, 81] L: [97, 143, 98]
R: [89, 116, 82] L: [98, 144, 101]
R: [89, 118, 81] L: [99, 144, 99]
R: [88, 118, 82] L: [97, 144, 98]
R: [89, 117, 80] L: [98, 144, 101]
R: [88, 118, 82] L: [95, 143, 99]
R: [89, 119, 82] L: [97, 143, 99]
R: [92, 117, 82] L: [96, 145, 101]
R: [87, 117, 79] L: [94, 144, 97]
R: [89, 116, 82] L: [98, 144, 99]
R: [90, 119, 82] L: [98, 144, 98]
R: [87, 118, 80] L: [99, 144, 101]
R: [88, 117, 84] L: [96, 141, 98]
R: [87, 117, 81] L: [99, 143, 100]
R: [87, 116, 80] L: [96, 142, 97]
R: [90, 118, 81] L: [99, 145, 101]
R: [88, 117, 81] L: [97, 144, 99]
R: [85, 120, 81] L: [99, 145, 102]
R: [86, 117, 79] L: [95, 143, 96]
R: [89, 116, 81] L: [97, 144, 101]
R: [89, 116, 81] L: [96, 142, 97]
R: [88, 117, 82] L: [97, 142, 99]
R: [90, 119, 83] L: [97, 144, 99]
R: [88, 115, 82] L: [98, 143, 98]
R: [88, 119, 81] L: [96, 144, 98]
R: [89, 116, 81] L: [98, 144, 100]
R: [90, 118, 82] L: [97, 142, 98]
R: [87, 115, 81] L: [97, 143, 99]
R: [89, 116, 81] L: [97, 143, 98]
R: [89, 117, 82] L: [95, 141, 98]
R: [92, 119, 83] L: [99, 145, 100]
